6,interdum,329,50,8
7,sit,178,12,27
8,primis,266,49,5
9,vehicula,93,12,5
10,enim,448,14,22
11,fringilla,237,30,18
12,egestas,196,31,7
13,Ut,336,45,26
14,Cras,430,19,16
15,Integer,285,45,27
16,sit,72,49,20
17,Cras,371,49,13
18,metus,203,41,24
19,sodales,295,43,21
20,eu,272,55,11
21,facilisis,280,16,21
22,Vivamus,319,14,20
23,consequat,267,37,25
24,Quisque,379,60,11
25,Cras,250,17,10
26,ligula,364,28,18
27,in,429,13,16
28,quis,115,23,11
29,mauris,276,35,17
30,hendrerit,230,15,11
31,faucibus,379,60,9
32,elit,56,53,19
33,ipsum,113,27,7
34,sem,135,17,19
35,risus,492,35,19
36,diam,159,43,28
37,volutpat,171,16,6
38,amet,274,53,8
39,risus,54,57,7
40,mi,415,37,28
41,ac,317,25,6
42,tincidunt,407,60,13
43,ipsum,231,45,27
44,nascetur,273,37,21
45,mauris,96,11,22
46,pede,441,19,19
47,egestas,422,31,19
48,elementum,130,53,30
49,sem,117,29,10
50,egestas,73,42,28
51,pharetra,51,58,23
52,nisi,285,48,21
53,tellus,243,48,25
54,magnis,275,38,15
55,sed,139,54,22
56,lorem,355,34,12
57,ullamcorper,405,38,6
58,rhoncus,314,39,23
59,diam,186,57,8
60,Phasellus,302,57,24
61,tempus,61,38,15
62,Cras,159,41,12
63,gravida,102,11,24
64,arcu,346,31,27
65,Maecenas,309,15,5
66,consectetuer,146,36,24
67,risus,388,55,14
68,feugiat,412,12,20
69,facilisis,350,51,10
70,Cum,398,40,17
71,Maecenas,481,14,29
72,Nullam,500,43,25
73,pede,461,14,27
74,sit,496,43,6
75,lorem,304,19,4
76,Pellentesque,265,15,7
77,cubilia,384,28,12
78,facilisis,63,40,2
79,odio,165,29,20
80,non,75,48,26
81,accumsan,266,11,14
82,amet,484,20,6
83,mus,142,30,24
84,nisl,448,46,24
85,vel,449,56,3
86,orci,308,15,3
87,sapien,133,47,3
88,neque,456,53,30
89,Curabitur,138,42,7
90,In,365,47,27
91,at,326,51,17
92,luctus,272,45,8
93,odio,162,40,19
94,lorem,184,47,12
95,vel,352,44,11
96,commodo,216,43,12
97,eget,109,26,7
98,lobortis,301,16,29
99,neque,298,42,2
100,et,399,24,30
